Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
634,80,80,38190,False,3,9,0,08/03/2026 11:13:51,False,0,1,53,35,1,2448,,3,8,4,08/03/2026 11:54:34,False,0,1,3012E671,53,2,8,GF,80/80,1016,1016,Petrel
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
210,28.4,0,3,0.79,0.21,0,0,14,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
220,30.4,0,3,0.83,0.21,0,0,11,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
230,32.5,0,4,0.87,0.21,0,0,9,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
240,33.2,0,4,0.89,0.21,0,0,9,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
250,33.1,0,4,0.89,0.21,0,0,8,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
260,32.7,0,4,0.88,0.21,0,0,8,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
270,32.7,0,4,0.88,0.21,0,0,8,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
280,32.7,0,4,0.88,0.21,0,0,8,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
290,33.1,0,4,0.88,0.21,0,0,8,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
300,35.1,0,4,0.92,0.21,0,0,7,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
310,33.3,0,4,0.89,0.21,0,0,7,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
320,32.5,0,4,0.87,0.21,0,0,7,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
330,32.7,0,4,0.88,0.21,0,0,7,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
340,32.4,0,4,0.87,0.21,0,0,7,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
350,32.1,0,4,0.86,0.21,0,0,7,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
360,31.9,0,4,0.86,0.21,0,0,7,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
370,31.9,0,4,0.86,0.21,0,0,7,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
380,32,0,4,0.86,0.21,0,0,7,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
390,32,0,4,0.86,0.21,0,0,7,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
400,31.8,0,4,0.86,0.21,0,0,6,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
410,31.7,0,4,0.86,0.21,0,0,6,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
420,31.8,0,4,0.86,0.21,0,0,6,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
430,31.9,0,4,0.86,0.21,0,0,6,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
440,31.6,0,4,0.85,0.21,0,0,6,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
450,31.6,0,4,0.85,0.21,0,0,6,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
460,31.7,0,4,0.86,0.21,0,0,6,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
470,31.5,0,4,0.85,0.21,0,0,5,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
480,31.3,0,4,0.85,0.21,0,0,5,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
490,32,0,4,0.86,0.21,0,0,5,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
500,31.2,0,4,0.85,0.21,0,0,5,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
510,29.1,0,3,0.81,0.21,0,0,5,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
520,24.4,0,3,0.71,0.21,0,0,5,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
530,25,0,3,0.72,0.21,0,0,11,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
540,26.6,0,3,0.75,0.21,0,0,8,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
550,28.9,0,3,0.79,0.21,0,0,6,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
560,30.8,0,4,0.84,0.21,0,0,4,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
570,31.7,0,4,0.85,0.21,0,0,4,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
580,31.5,0,4,0.85,0.21,0,0,4,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
